State,StateName,Lat,Long, SumofTotalCost ,CountofTotalDischarges ,SumofAverageCoveredCharges  ,Variance,TrumpcareTweet1,NontrumpcareTweet2
MI,Michigan,43.326618,-84.536095,"$2,885,782,550.89 ",5419,"$130,729,295.63 ",5,"Oops Mr President  I told my People about Mandate being removed 2 days ago, which is going to really get Economy Going, It was The Woorst Part of Obamadontcare !Cost of HealthCare Tripled under Obama's lies, You can keep your Dr.! Keep Your Plan! Affordable ! ","Well, at least much more has been destroyed by you...clean air, clean drinking water, DACA, a bogus border  that will cost taxpayers billions, healthcare, tax reform that decimates millions and profits the 1%...yeah there's that short list."
MN,Minnesota,45.694454,-93.900192,"$991,718,819.13 ",2252,"$62,818,102.82 ",6,MEDICARE FOR ALL A SINGLE PAYER HEALTHCARE SYSTEM COST ORIENTED ... but ALL republicans are against it and many Dems are also corrupt.,in Britain we have free healthcare and sanitary hospitals. Alfie Evans was on life support from December 2016 onds and it didn't cost his family a penny. The decision to withdraw his life support was made because he was brain dead and had been for some time.
MO,Missouri,38.456085,-92.288368,"$1,540,075,681.43 ",4059,"$126,578,384.36 ",8,Agreed. I'm for anything that helps everyone.So many people want others to believe that obamacare is the best thing ever. It's not.,"Mr. President, End the Collusion . . . in the Healthcare Industry PLEASE  Open the State Lines HealthCare Cost is draining the Middle Class #dtmag"
MS,Mississippi,32.741646,-89.678696,"$756,576,884.97 ",2410,"$73,005,612.34 ",10,"I'll take my chances. I can't afford it now. So, what's the difference? Call me selfish, but I'm looking out for my family and myself.","What's in your VA bill? What happened to your Healthcare bill that replaced Obamacare with health coverage for everyone at much lower cost? Oh, and how much $$ has  paid tods the ?"
MT,Montana,46.921925,-110.454353,"$150,410,779.06 ",506,"$11,471,027.71 ",8,"Again, no one can work for free. Someone has to pay Dr.nurses, hospitals, ppl who even clean the floors in the hospitals. U get what u pay","If we have a great president, why did he withdraw from Paris accord? I believe in climate change. Why did he cut funding to science? I'm a science fanatic. Why did he cut funding to healthcare? Thanks, my monthly cost has gone up by more than 10x"
NC,North Carolina,35.630066,-79.806419,"$2,425,195,187.13 ",5041,"$126,735,539.85 ",5,"...I told Republicans to approve healthcare fast or this would happen. But don't worry, I will veto because I love our country & its people.","Are U Also Going To Explain What Tom Price Says, About The Individual Mandate? He Says, Because The Republicans Got Rid Of It, Healthcare Cost Will Definitely Go Up! In Fact, Rick Santorum Agrees With Tom Price! Read This, America! "
ND,North Dakota,47.528912,-99.784012,"$167,699,701.12 ",422,"$9,130,764.82 ",5,"Fact check:  campaigned for healthcare for all. Even if it ""cost him votes.""","I may have breast cancer, my follow up appt for 2nd test cost 8k. I had to pay close to 300 to meet my deductible. Tests still inconclusive & they want me back for more tests, looks like I'm skipping that I'm already late on bills, guess I'll take my chances. Healthcare ripoff"
NE,Nebraska,41.12537,-98.268082,"$372,793,497.58 ",1062,"$33,704,086.35 ",9,Not to mention all the other times he pushed for universal heatlhcare.,"Yeah what a shocker, but remember  said we would have the best healthcare at a fraction of the cost? Yeah bet he doesn’t either. "
NH,New Hampshire,43.452492,-71.563896,"$266,066,633.73 ",823,"$22,269,574.12 ",8,you're going to have such great healthcare at a tiny fraction of the cost. and it's going to be so easy!,well we are just about to test the republican messing w healthcare. husband cant continue present job- too physical. need job w healthcare- hard to find. sooo will be fonding out how much the republicans aca will cost!!
NJ,New Jersey,40.298904,-74.521011,"$2,462,087,656.68 ",4826,"$319,122,561.96 ",13,"Republicans, sorry, but I've been hearing about Repeal & Replace for 7 years, didn't happen! Even worse, the Senate Filibuster Rule will....",There was a time when there were no co-pays and insurance didn't cover office visits
NM,New Mexico,34.840515,-106.248482,"$264,530,126.53 ",917,"$27,520,459.76 ",10,What about your voters  who struggling under MASSIVE healthcare cost +DACA illegals taking our jobs?,"I understand that there is a fight between healthcare providers and health insurance companies on how much to pay, this is not new, healthcare cost keep going up, they want to negotiate what they have to pay."
NV,Nevada,38.313515,-117.055374,"$425,918,871.05 ",1202,"$73,378,632.73 ",17,"Medicaid was founded for people in need,NOT people that can help themselves! Obama's fault! Obamacare is destroying the middle class people",We need help. The cost of healthcare is killing small business.
NY,New York,42.165726,-74.948051,"$5,117,372,846.84 ",9178,"$288,516,721.91 ",6,The Senate must go to a 51 vote majority instead of current 60 votes. Even parts of full Repeal need 60. 8 Dems control Senate. Crazy!,75 billion for all the schools in the US..The US ALREADY pays 67 billion in grants so you are saying 8 billion more will pay the rest..Are you high.The total healthcare cost right now in the US is 2.8 trillion....so how can you save 17 trillion...Try again
OH,Ohio,40.388783,-82.764915,"$2,533,345,779.74 ",7012,"$198,749,660.45 ",8,I had a great time today with  and believe we are getting closer to an agreement on health care!,"As a small business, I had to close due to the skyrocketing cost I Had to pay for employee healthcare thanks to ACA.  What’s your point?"
OK,Oklahoma,35.565342,-96.928917,"$835,480,101.78 ",2520,"$74,560,689.67 ",9,Repealing OCare will just make it easier to raise premiums and lower coverage. Pay attention to what the replacement is. Sorry :(,"They had health insurance, not healthcare. Patients were skipping medical procedures when they found out the cost of their deductibles. If someone has$3000 in the bank and a $6000 deductible they don’t have insurance"
OR,Oregon,44.572021,-122.070938,"$430,561,085.60 ",1299,"$35,579,755.32 ",8,Hey  it is time to repeal Obamacare and replace the liars in congress. Leave healthcare to us the people. Cost will plummet,"He didn't pass a healthcare bill, he pasted a bill that cost over $4TT that will continue to cost us money which lead to millions losing their health insurance only to give it to the welfare case. He also REFUSED to give the COLA to our retired workers & increasing WELFARE 41%!"
PA,Pennsylvania,40.590752,-77.209755,"$2,831,208,758.94 ",7804,"$309,303,421.99 ",11,"Instead of doing something real to deal w/ the cost of healthcare,  & Republican leaders in Congress pushed a partisan plan.","You are awfully naive or uninformed and you didn’t seem to understand what it takes to buy a house, but universal healthcare will cost $70 billion (10% of the military’s insane budget) and college for everybody will cost $150 billion (21% of the military’s insane budget). "
RI,Rhode Island,41.680893,-71.51178,"$228,369,985.93 ",588,"$17,606,308.26 ",8,"Healthcare reform: Focus economic strategy on reducing waste & inefficiency in healthcare, not insurance cost & coverage. ","How does that fit with your ""loss of quality"" narrative? A health premiums expensive subsidized healthcare system doesn't care about profits, they could produce the antivenom on taxpayer money. That would save lives! Wouldn't you agree that such a thing is worth the cost?"
SC,South Carolina,33.856892,-80.945007,"$1,106,303,633.46 ",2847,"$102,100,522.02 ",9,Way to reduce cost of healthcare is to concurrently intro legisl on popular measures  campaigned on. Force Dems' hands.,"Huh? Pence should do that while you negotiate peace in the Middle East and Korea, negotiate China raping our economy and currency manipulation, and write that Healthcare Bill that covers everyone at much lower cost. You've only got three days until it's time to play golf again!"
SD,South Dakota,44.299782,-99.438828,"$220,116,373.64 ",486,"$14,390,455.89 ",7,No better time w/ 23 Dem Senate seats open N '18. REG's Are NOT LAW. Stage 2 is HHS Price's Reg's, Is this what you meant when you promised people you would deliver better healthcare at a fraction of the cost? @marcorubio Still proud of you support for gutting the Affordable Care Act? https://twitter.com/Barbara102006/status/9910310393
TN,Tennessee,35.747845,-86.692345,"$1,578,410,696.02 ",4168,"$122,038,755.89 ",8,"The real message should be, we have to cut costs in ALL areas. Choose necessities,not luxury"," affordable Man! You are getting hit from inside and out! This is what happens when KARMA catches up with you. Remember when you told us all that YOUR Healthcare plan would cover everyone, be the best, and cost us less? Well, you lied. Again! "
TX,Texas,31.054487,-97.563461,"$4,417,582,851.52 ",11864,"$492,121,014.54 ",11,No to Ryan's plan. Thx Laura! President Trump needs to stay with his promise #RepealAndReplace,"If you consider destroying the environment,allowing animal cruelty, splitting up families, taking food away from the hungry, denying people healthcare, increasing the debt, raising the cost of  and steel, increasing racial tension, successful, then yes you are doing your job."
UT,Utah,40.150032,-111.862434,"$246,496,826.16 ",732,"$18,367,934.63 ",7,.@IngrahamAngle affordable Republicans fail if: 1) they don't pass AHC bill. 2) they pass AHC bill but don't keep Trump's promises.,"The largest problem with our healthcare system was uninsured people going to emergency rooms for treatment. That is what was driving up cost, hospitals raising prices to recoup cost. So make the uninsured get insurance. It wasn’t perfect but a step in the right direction."
VA,Virginia,37.769337,-78.169968,"$1,705,165,587.41 ",4332,"$126,589,706.11 ",7,@marynicolefox @realDonaldTrump Reduce healthcare & education costs get rid of the parasites. Not our responsibility.,"Choice of what? If you work for an employer, are in any kind of insurance your choices are limited. The purpose of #SinglePayer is to bring down the cost of healthcare which runs 2X's too high in the US. No other way to do that. When costs are cut, access and coverage are easy."
VT,Vermont,44.045876,-72.710686,"$119,936,774.54 ",270,"$5,420,238.75 ",5,Lower cost worth fewer people on Medicaid,"The never ending scandals cost so much more than universal healthcare, welfare assistance, social security...and on and on. I want the scandalous White House gone so my BP can go back down!"
WA,Washington,47.400902,-121.490494,"$1,124,648,589.97 ",2778,"$96,436,142.26 ",9,Selling health insurance to sick people makes no more sense that selling life insurance to dead people.,“You can keep your current plan” HUGE lie causing millions to lose their healthcare altogether. If I want to cover my family today it would cost me $783 per paycheck ($1566 per month) while before this disaster it was $240 per month for my whole family. Obama sucked!!!!
WI,Wisconsin,44.268543,-89.616508,"$950,876,771.89 ",2834,"$74,107,187.99 ",8,@realDonaldTrump you campaigned on better healthcare w/less cost & if all you can come up with is #ObamacareLite then #SaveACA!,"You’re hysterical, but so sad. As a scientist & surgeon whose life, & lives of my patients, depend on ability to discern fact & truth, & who understands healthcare inside & out, you’ve got no clue about reality. Obamacare bent cost curves for 1st time ever. Wanna actually learn?"
WV,West Virginia,38.491226,-80.954453,"$504,266,939.51 ",1589,"$30,495,307.22 ",6,"If @realDonaldTrump wants ""much better healthcare at a much lower cost"" he should push for #SinglePayer. https://goo.gl/bevftn ",That is why some oppose Universal Healthcare. The death panels decide who lives and who dies. If you are going to cost to much money... bye bye. If your overweight or you smoke you will be left to die. Plain and simple.
WY,Wyoming,42.755966,-107.30249,"$78,999,528.25 ",247,"$7,089,047.86 ",9,.@realDonaldTrump U could simply offer #Medicare 4 all & everyone would get healthcare in most cost effective way. Ur promise would b met.,"When many people are paying “premiums”, this high, and still cannot afford “the deductible”, it’s anything but “affordable”! And that’s just “healthcare insurance”, among the “other insurance costs”, auto insurance is another huge cost, and homeowners insurance..."
Grand Total,,,,"$66,689,493,035.86 ",163065,"$5,892,183,245.60 ",9,,
